id,last_try,success,fail
68142751-4b2c-48d3-b5ec-5258cce06a9c,2025-03-27 14:03:37,1.0,0.0
3d5c7384-6865-4b8c-bc28-20cdd88f87f3,2025-03-31 14:48:07,2.0,2.0
440944e8-8a67-467e-8579-7ee619efb807,2025-03-31 14:57:34,1.0,3.0
c810e394-f450-41dd-96e9-362b1867e13e,2025-03-27 19:45:38,0.0,3.0
f5e2e8f1-4180-4c3e-b83b-d2dc8b445bf4,2025-03-27 16:04:16,1.0,0.0
432634d2-cc14-4ef0-934a-5ae2aad5bb45,2025-03-28 17:51:50,0.0,1.0
b8145942-ef15-46db-bca2-d482ad36d67b,2025-03-27 16:04:35,1.0,0.0
5e2c74b0-7545-464e-98dd-39049cc8b829,2025-03-30 13:38:04,0.0,3.0
626b44a5-dbfa-4c71-b244-9567b51c8bef,2025-03-27 16:16:18,0.0,1.0
9ede20fb-b831-4c29-8988-ddce1ed800cb,2025-03-27 19:44:19,2.0,0.0
32f978cd-f365-4cd4-8313-5af3c787816a,2025-03-27 19:44:05,0.0,3.0
3f033e10-fe25-49f6-a783-928f9064ea42,2025-03-27 19:43:18,2.0,0.0
b6388760-991b-481e-b15a-bf883eeff562,2025-03-27 19:44:51,1.0,1.0
b912a588-1518-42b1-b109-afb32eee703e,2025-03-31 14:47:40,0.0,2.0
9a4ddfc9-b191-45f9-800f-442f81417e95,2025-03-31 14:49:41,0.0,2.0
bed53c2e-b0cf-4235-abff-4145f0b17237,2025-03-30 18:11:43,2.0,0.0
2c92504f-c566-4612-b891-908164411d96,2025-03-27 16:25:50,1.0,0.0
98f824ae-b0c7-428d-82f1-c415fc0ee0d5,2025-03-27 16:25:59,1.0,0.0
4916a156-ce61-4371-a145-09c3a6c0ea6e,2025-03-27 16:26:08,0.0,1.0
a65d261f-12e9-4a32-8140-7a5766244ecb,2025-03-30 13:48:35,0.0,2.0
631e5d91-9c04-4e45-9c82-78adb2c33697,2025-03-27 16:26:23,0.0,1.0
20dd37c9-bd15-41bf-a75b-976055ba784f,2025-03-27 16:26:33,0.0,1.0
655ed583-c2ba-4bdb-8b90-dbcd550ce6bd,2025-03-27 19:47:37,0.0,2.0
9b0a49cd-04b1-4ef9-9b4d-13fd2a3f668c,2025-03-27 16:26:53,0.0,1.0
849307c0-75f4-4e65-b5cd-a689d3ae1b48,2025-03-27 16:27:04,1.0,0.0
c1a91ab7-8333-4648-a9ce-a1728f1d91ce,2025-03-27 16:27:09,0.0,1.0
3c2582b9-92a0-4132-adbc-66032531aaf0,2025-03-27 16:27:16,0.0,1.0
6c51847f-e662-44a3-b611-543943e03f37,2025-03-30 13:40:51,0.0,3.0
416c20ed-bed1-4d7e-80fc-438c6c293b8e,2025-03-27 16:27:28,1.0,0.0
183bd34b-993f-4fa2-95ea-8e8084934985,2025-03-27 16:27:42,1.0,0.0
68e5a8a4-5c56-45a3-902e-01bd136f8fb8,2025-03-31 14:48:36,0.0,4.0
16e6a6bf-20ce-4aee-8f15-57da75d9118b,2025-03-31 14:48:00,0.0,3.0
2cc9fe02-e054-4d9a-a1bf-2dbaea830c14,2025-03-27 16:30:42,2.0,0.0
e24ceff0-7da9-4741-b771-aae1211f6d48,2025-03-27 16:28:21,1.0,0.0
08398b65-6f95-4372-81ea-f7ffdc9437a6,2025-03-27 16:28:46,0.0,1.0
9767eeeb-5f66-4af3-a4a0-bd8ee17a90c6,2025-03-27 19:47:10,0.0,2.0
6d10ccb0-40b8-493d-9d8a-12c16a1eda2b,2025-03-27 19:43:00,0.0,2.0
a6cac8df-7e33-47fa-ac8f-a40c1ab3841c,2025-03-29 12:01:05,0.0,2.0
5df0ba12-80f9-432d-94b4-b345b8ee138b,2025-03-31 14:46:59,0.0,2.0
1d7076b4-6766-4096-b461-e34ec733592c,2025-03-27 16:29:34,0.0,1.0
b9e2e528-0988-4a9a-8329-8decdb2ed5d8,2025-03-27 16:29:39,1.0,0.0
77cb44e2-0a6a-4d5e-b370-e8f8120e437e,2025-03-27 19:45:54,1.0,1.0
c987298a-eef3-4d52-a707-f82bf63fa070,2025-03-27 16:30:03,0.0,1.0
9b3ca06a-6144-4045-90d2-63d45ad07ef3,2025-03-27 16:30:10,0.0,1.0
8e8c7971-99a0-4b05-a4d4-faec40ea9248,2025-03-27 19:24:08,0.0,2.0
d6af128e-f139-4536-98d0-7d308afa5ca5,2025-03-27 16:30:46,0.0,0.0
0f710376-234d-486c-8032-0449f24662c8,2025-03-27 19:44:54,1.0,1.0
0d44134e-dca4-44ef-ace8-d35bdacc1456,2025-03-27 18:51:30,0.0,1.0
8562be9d-1f85-4ed4-aab5-ecb32000ecc5,2025-03-27 18:51:41,1.0,0.0
605f529e-deb7-4109-8ca4-f059f77754eb,2025-03-27 18:52:00,1.0,0.0
33b009d7-2d7a-4798-8a0d-80cd4ab9bda4,2025-03-27 18:52:05,1.0,0.0
f134d099-1191-4e4e-9928-8670a6eceafe,2025-03-30 18:11:24,0.0,2.0
75fd3cfb-fa5e-485c-8c60-406fb2c0abfc,2025-03-30 13:39:52,2.0,0.0
572c24d6-985d-491a-b2b9-a5f512df7bff,2025-03-29 12:02:47,2.0,0.0
3ebb4c23-0642-4552-b9b4-d93e17f8bc74,2025-03-27 18:52:31,0.0,1.0
e6caac27-4ad7-4b6b-90fc-f49d3545bbf1,2025-03-27 18:52:49,1.0,0.0
6a82127c-7ab8-48f2-a839-3ea5a7357164,2025-03-27 18:52:56,1.0,0.0
caaf4004-e41c-4f9e-9b29-68dfad38f9d9,2025-03-31 14:50:05,0.0,2.0
f494ef73-3593-4dea-a590-d816e3b6b5d9,2025-03-27 19:46:02,0.0,2.0
360c9051-cfeb-4018-aeda-61720c9a51da,2025-03-30 13:40:17,0.0,2.0
d8816927-65e6-42d6-a816-3006e0caeb75,2025-03-30 18:14:21,0.0,1.0
52dae17a-62e7-4e44-8f31-bb9f7bd57e2c,2025-03-27 18:53:33,0.0,1.0
dae62774-efd9-43c2-a4ef-0b9dd9c2c2a7,2025-03-27 18:53:37,0.0,0.0
a89a035c-d835-4b22-8585-7f2ce795f137,2025-03-27 18:54:34,1.0,0.0
